movement_id,product_id,warehouse_id,jenis_mutasi,kuantitas_perubahan,recorded_timestamp,operator_id
MOV-000027,PROD-2211,WH-SURABAYA-02,OUTBOUND,243,2026-06-02 00:10:00,OP-187
MOV-000028,PROD-0653,WH-JAKARTA-01,OUTBOUND,8,2026-06-25 04:12:29,OP-156
MOV-000029,PROD-2130,WH-JAKARTA-01,OUTBOUND,233,2026-06-16 00:06:51,OP-548
MOV-000030,PROD-0481,WH-JAKARTA-01,ADJUSTMENT_DEFECT,61,2026-06-04 17:44:47,OP-877
MOV-000031,PROD-0516,WH-MEDAN-03,OUTBOUND,123,2026-06-15 08:58:17,OP-344
MOV-000032,PROD-1664,WH-SURABAYA-02,INBOUND,57,2026-06-05 00:40:06,OP-466
MOV-000033,PROD-0187,WH-SURABAYA-02,OUTBOUND,106,2026-06-17 10:46:35,OP-226
MOV-000034,PROD-0146,WH-JAKARTA-01,OUTBOUND,29,2026-06-07 22:45:57,OP-233
MOV-000035,PROD-1006,WH-BANDUNG-04,INBOUND,179,2026-06-17 15:54:59,OP-667
MOV-000036,PROD-0152,WH-BANDUNG-04,INBOUND,184,2026-06-20 22:58:54,OP-711
MOV-000037,PROD-1387,WH-SURABAYA-02,RETUR_STOCK,225,2026-06-17 09:39:26,OP-529
MOV-000038,PROD-0093,WH-BANDUNG-04,INBOUND,166,2026-06-03 11:05:57,OP-276
MOV-000039,PROD-1850,WH-MEDAN-03,OUTBOUND,148,2026-06-28 17:50:07,OP-291
MOV-000040,PROD-0602,WH-SURABAYA-02,INBOUND,233,2026-06-14 02:14:24,OP-776
MOV-000041,PROD-0049,WH-JAKARTA-01,OUTBOUND,98,2026-06-07 10:11:00,OP-912
MOV-000042,PROD-1903,WH-JAKARTA-01,OUTBOUND,219,2026-06-16 11:40:27,OP-133
MOV-000043,PROD-2204,WH-MEDAN-03,OUTBOUND,131,2026-06-26 20:23:10,OP-516
MOV-000044,PROD-0775,WH-SURABAYA-02,INBOUND,128,2026-06-07 03:44:37,OP-652
MOV-000045,PROD-0546,WH-BANDUNG-04,INBOUND,40,2026-06-18 21:08:14,OP-768
MOV-000046,PROD-1464,WH-SURABAYA-02,ADJUSTMENT_DEFECT,160,2026-06-29 19:53:52,OP-271
MOV-000047,PROD-1261,WH-BANDUNG-04,OUTBOUND,197,2026-06-07 02:21:28,OP-394
MOV-000048,PROD-0650,WH-BANDUNG-04,OUTBOUND,76,2026-06-06 10:06:36,OP-306
MOV-000049,PROD-2024,WH-MEDAN-03,OUTBOUND,57,2026-06-17 18:29:03,OP-267
MOV-000050,PROD-1081,WH-JAKARTA-01,OUTBOUND,174,2026-06-04 22:15:40,OP-337
MOV-000051,PROD-0175,WH-JAKARTA-01,OUTBOUND,83,2026-06-10 01:22:09,OP-297
MOV-000052,PROD-1238,WH-BANDUNG-04,OUTBOUND,102,2026-06-26 18:58:09,OP-800
MOV-000053,PROD-2075,WH-BANDUNG-04,OUTBOUND,151,2026-06-11 03:57:49,OP-894
MOV-000054,PROD-1942,WH-BANDUNG-04,INBOUND,48,2026-06-04 22:36:08,OP-347
MOV-000055,PROD-1143,WH-BANDUNG-04,INBOUND,34,2026-06-25 00:07:55,OP-153
MOV-000056,PROD-0147,WH-JAKARTA-01,OUTBOUND,78,2026-06-21 15:24:31,OP-906
MOV-000057,PROD-0868,WH-BANDUNG-04,INBOUND,176,2026-06-12 05:02:40,OP-246
MOV-000058,PROD-2313,WH-BANDUNG-04,OUTBOUND,121,2026-06-08 16:02:33,OP-320
MOV-000059,PROD-2306,WH-BANDUNG-04,OUTBOUND,159,2026-06-03 06:21:22,OP-731
MOV-000060,PROD-1884,WH-SURABAYA-02,INBOUND,88,2026-06-25 03:51:24,OP-703
MOV-000061,PROD-0743,WH-SURABAYA-02,OUTBOUND,221,2026-06-07 22:53:45,OP-335
MOV-000062,PROD-1523,WH-BANDUNG-04,INBOUND,77,2026-06-01 17:03:54,OP-358
MOV-000063,PROD-0710,WH-SURABAYA-02,OUTBOUND,236,2026-06-23 20:39:18,OP-386
MOV-000064,PROD-1351,WH-BANDUNG-04,INBOUND,38,2026-06-10 18:02:37,OP-488
MOV-000065,PROD-1094,WH-MEDAN-03,ADJUSTMENT_DEFECT,131,2026-06-19 19:37:04,OP-123
MOV-000066,PROD-1953,WH-JAKARTA-01,INBOUND,89,2026-06-29 00:26:57,OP-906
MOV-000067,PROD-1606,WH-JAKARTA-01,OUTBOUND,156,2026-06-08 02:29:33,OP-510
MOV-000068,PROD-1682,WH-BANDUNG-04,OUTBOUND,60,2026-06-22 12:27:33,OP-933
MOV-000069,PROD-1855,WH-SURABAYA-02,INBOUND,11,2026-06-22 01:43:04,OP-825
MOV-000070,PROD-2267,WH-BANDUNG-04,OUTBOUND,200,2026-06-07 10:44:59,OP-128
MOV-000071,PROD-0561,WH-BANDUNG-04,ADJUSTMENT_DEFECT,55,2026-06-08 22:48:23,OP-954
MOV-000072,PROD-0892,WH-SURABAYA-02,INBOUND,140,2026-06-17 17:48:17,OP-968
MOV-000073,PROD-0597,WH-SURABAYA-02,INBOUND,188,2026-06-14 20:45:20,OP-486
MOV-000074,PROD-2391,WH-SURABAYA-02,INBOUND,209,2026-06-14 01:55:24,OP-679
MOV-000075,PROD-0450,WH-BANDUNG-04,INBOUND,62,2026-06-04 00:04:45,OP-364
MOV-000076,PROD-2384,WH-BANDUNG-04,RETUR_STOCK,89,2026-06-29 00:22:12,OP-824
MOV-000077,PROD-2052,WH-BANDUNG-04,INBOUND,231,2026-06-12 10:42:03,OP-332
MOV-000078,PROD-1826,WH-BANDUNG-04,OUTBOUND,73,2026-06-08 21:04:15,OP-796
MOV-000079,PROD-1250,WH-JAKARTA-01,INBOUND,248,2026-06-15 14:37:38,OP-102
MOV-000080,PROD-1174,WH-SURABAYA-02,INBOUND,12,2026-06-19 03:10:17,OP-508
MOV-000081,PROD-2286,WH-BANDUNG-04,INBOUND,198,2026-06-27 21:55:16,OP-726
MOV-000082,PROD-1684,WH-BANDUNG-04,INBOUND,156,2026-06-25 05:27:54,OP-452
MOV-000083,PROD-2151,WH-JAKARTA-01,OUTBOUND,174,2026-06-29 11:55:58,OP-770
MOV-000084,PROD-1199,WH-BANDUNG-04,INBOUND,58,2026-06-15 00:27:07,OP-233
MOV-000085,PROD-1010,WH-MEDAN-03,OUTBOUND,148,2026-06-19 11:52:34,OP-295
MOV-000086,PROD-1772,WH-SURABAYA-02,OUTBOUND,136,2026-06-04 15:23:44,OP-449
MOV-000087,PROD-1708,WH-SURABAYA-02,INBOUND,63,2026-06-11 07:14:08,OP-548
MOV-000088,PROD-0440,WH-JAKARTA-01,INBOUND,98,2026-06-15 10:03:30,OP-650
MOV-000089,PROD-1309,WH-BANDUNG-04,INBOUND,50,2026-06-24 00:46:53,OP-501
MOV-000090,PROD-2273,WH-MEDAN-03,INBOUND,98,2026-06-19 07:41:46,OP-430
MOV-000091,PROD-2031,WH-SURABAYA-02,OUTBOUND,103,2026-06-14 21:53:13,OP-897
MOV-000092,PROD-1968,WH-MEDAN-03,OUTBOUND,238,2026-06-16 07:09:50,OP-243
MOV-000093,PROD-0246,WH-JAKARTA-01,ADJUSTMENT_DEFECT,17,2026-06-29 04:46:16,OP-713
MOV-000094,PROD-1543,WH-SURABAYA-02,OUTBOUND,41,2026-06-24 05:07:12,OP-412
MOV-000095,PROD-1238,WH-MEDAN-03,INBOUND,186,2026-06-13 08:16:34,OP-192
MOV-000096,PROD-1614,WH-MEDAN-03,INBOUND,181,2026-06-22 09:38:21,OP-239
MOV-000097,PROD-1725,WH-BANDUNG-04,RETUR_STOCK,245,2026-06-14 09:49:08,OP-617
MOV-000098,PROD-0953,WH-BANDUNG-04,OUTBOUND,79,2026-06-06 06:47:15,OP-451
MOV-000099,PROD-2264,WH-BANDUNG-04,INBOUND,62,2026-06-22 09:55:03,OP-348
MOV-000100,PROD-0283,WH-SURABAYA-02,INBOUND,23,2026-06-28 06:55:35,OP-593
MOV-000101,PROD-2430,WH-BANDUNG-04,INBOUND,150,2026-06-10 20:55:59,OP-832
MOV-000102,PROD-1941,WH-MEDAN-03,OUTBOUND,192,2026-06-11 22:10:08,OP-954
MOV-000103,PROD-0172,WH-BANDUNG-04,OUTBOUND,149,2026-06-22 22:04:41,OP-149
MOV-000104,PROD-1245,WH-BANDUNG-04,INBOUND,143,2026-06-30 18:39:36,OP-133
MOV-000105,PROD-1119,WH-MEDAN-03,INBOUND,147,2026-06-01 13:47:43,OP-904
MOV-000106,PROD-1883,WH-JAKARTA-01,INBOUND,204,2026-06-11 04:24:23,OP-491
MOV-000107,PROD-2092,WH-SURABAYA-02,INBOUND,112,2026-06-02 01:37:43,OP-982
MOV-000108,PROD-2276,WH-MEDAN-03,OUTBOUND,225,2026-06-13 01:34:51,OP-371
MOV-000109,PROD-2365,WH-JAKARTA-01,OUTBOUND,149,2026-06-13 23:03:10,OP-359
MOV-000110,PROD-0601,WH-MEDAN-03,INBOUND,94,2026-06-24 04:09:17,OP-643
MOV-000111,PROD-2024,WH-JAKARTA-01,OUTBOUND,124,2026-06-03 13:32:34,OP-947
MOV-000112,PROD-0467,WH-JAKARTA-01,INBOUND,9,2026-06-15 04:52:24,OP-669
MOV-000113,PROD-1739,WH-MEDAN-03,OUTBOUND,193,2026-06-06 06:48:18,OP-444
MOV-000114,PROD-0297,WH-JAKARTA-01,OUTBOUND,136,2026-06-27 14:27:41,OP-394
MOV-000115,PROD-1020,WH-BANDUNG-04,INBOUND,60,2026-06-05 03:01:01,OP-644
MOV-000116,PROD-2263,WH-JAKARTA-01,OUTBOUND,220,2026-06-16 07:43:00,OP-590
MOV-000117,PROD-1548,WH-BANDUNG-04,INBOUND,207,2026-06-12 16:31:57,OP-898
MOV-000118,PROD-1899,WH-MEDAN-03,INBOUND,226,2026-06-01 20:59:18,OP-448
MOV-000119,PROD-0661,WH-BANDUNG-04,INBOUND,108,2026-06-22 05:58:44,OP-351
MOV-000120,PROD-0654,WH-SURABAYA-02,INBOUND,52,2026-06-18 21:39:37,OP-209
MOV-000121,PROD-0802,WH-JAKARTA-01,OUTBOUND,52,2026-06-30 08:01:43,OP-219
MOV-000122,PROD-0341,WH-SURABAYA-02,INBOUND,167,2026-06-15 06:04:22,OP-692
MOV-000123,PROD-0704,WH-MEDAN-03,OUTBOUND,240,2026-06-20 11:13:14,OP-746
MOV-000124,PROD-2455,WH-BANDUNG-04,ADJUSTMENT_DEFECT,113,2026-06-24 04:32:20,OP-871
MOV-000125,PROD-0853,WH-MEDAN-03,INBOUND,165,2026-06-22 21:59:49,OP-883
MOV-000126,PROD-0306,WH-JAKARTA-01,INBOUND,104,2026-06-16 04:27:35,OP-918
MOV-000127,PROD-1934,WH-BANDUNG-04,INBOUND,25,2026-06-06 04:16:58,OP-632
MOV-000128,PROD-1788,WH-JAKARTA-01,INBOUND,106,2026-06-16 21:28:04,OP-902
MOV-000129,PROD-0874,WH-JAKARTA-01,INBOUND,9,2026-06-03 20:28:41,OP-110
MOV-000130,PROD-1582,WH-MEDAN-03,OUTBOUND,196,2026-06-03 23:56:25,OP-362
MOV-000131,PROD-0495,WH-BANDUNG-04,INBOUND,201,2026-06-03 21:36:14,OP-270
MOV-000132,PROD-1686,WH-JAKARTA-01,OUTBOUND,153,2026-06-10 02:22:29,OP-470
MOV-000133,PROD-1606,WH-JAKARTA-01,INBOUND,93,2026-06-13 02:06:48,OP-458
MOV-000134,PROD-1538,WH-MEDAN-03,INBOUND,78,2026-06-18 21:57:16,OP-418
MOV-000135,PROD-1636,WH-JAKARTA-01,INBOUND,126,2026-06-18 19:00:40,OP-246
MOV-000136,PROD-0896,WH-JAKARTA-01,INBOUND,215,2026-06-11 19:00:07,OP-642
MOV-000137,PROD-1168,WH-SURABAYA-02,INBOUND,164,2026-06-08 03:23:08,OP-921
MOV-000138,PROD-2347,WH-MEDAN-03,OUTBOUND,150,2026-06-03 19:43:23,OP-106
MOV-000139,PROD-2475,WH-MEDAN-03,OUTBOUND,62,2026-06-11 06:30:37,OP-431
MOV-000140,PROD-1862,WH-SURABAYA-02,INBOUND,102,2026-06-14 12:51:18,OP-353
MOV-000141,PROD-0757,WH-BANDUNG-04,OUTBOUND,244,2026-06-25 15:49:48,OP-554
MOV-000142,PROD-0031,WH-BANDUNG-04,INBOUND,83,2026-06-15 14:10:43,OP-520
MOV-000143,PROD-2380,WH-MEDAN-03,INBOUND,156,2026-06-15 20:51:30,OP-878
MOV-000144,PROD-1994,WH-BANDUNG-04,OUTBOUND,9,2026-06-26 05:21:29,OP-409
MOV-000145,PROD-2100,WH-JAKARTA-01,ADJUSTMENT_DEFECT,131,2026-06-13 20:00:51,OP-235
MOV-000146,PROD-0243,WH-SURABAYA-02,OUTBOUND,185,2026-06-20 19:47:56,OP-473
MOV-000147,PROD-0686,WH-JAKARTA-01,INBOUND,100,2026-06-11 21:44:40,OP-441
MOV-000148,PROD-1636,WH-SURABAYA-02,RETUR_STOCK,205,2026-06-12 17:53:05,OP-919
MOV-000149,PROD-1441,WH-SURABAYA-02,OUTBOUND,187,2026-06-27 23:41:07,OP-130
MOV-000150,PROD-1499,WH-JAKARTA-01,OUTBOUND,137,2026-06-15 10:05:05,OP-591
MOV-000151,PROD-1416,WH-JAKARTA-01,RETUR_STOCK,201,2026-06-26 10:22:17,OP-670
MOV-000152,PROD-1413,WH-JAKARTA-01,OUTBOUND,126,2026-06-27 11:29:55,OP-980
MOV-000153,PROD-0573,WH-SURABAYA-02,OUTBOUND,173,2026-06-30 19:57:49,OP-534
MOV-000154,PROD-1992,WH-MEDAN-03,OUTBOUND,237,2026-06-12 14:15:44,OP-663
MOV-000155,PROD-1432,WH-JAKARTA-01,INBOUND,102,2026-06-26 04:56:26,OP-642
MOV-000156,PROD-1213,WH-JAKARTA-01,OUTBOUND,139,2026-06-26 16:23:37,OP-752
MOV-000157,PROD-2331,WH-BANDUNG-04,INBOUND,94,2026-06-08 12:35:36,OP-557
MOV-000158,PROD-1660,WH-JAKARTA-01,RETUR_STOCK,133,2026-06-09 06:41:31,OP-657
MOV-000159,PROD-0599,WH-BANDUNG-04,OUTBOUND,56,2026-06-26 23:37:47,OP-506
MOV-000160,PROD-2196,WH-MEDAN-03,OUTBOUND,102,2026-06-02 01:19:56,OP-128
MOV-000161,PROD-0070,WH-SURABAYA-02,INBOUND,30,2026-06-09 05:42:17,OP-795
MOV-000162,PROD-1394,WH-JAKARTA-01,OUTBOUND,125,2026-06-01 16:38:08,OP-284
MOV-000163,PROD-1650,WH-BANDUNG-04,INBOUND,228,2026-06-28 05:26:19,OP-143
MOV-000164,PROD-1539,WH-MEDAN-03,OUTBOUND,195,2026-06-18 19:23:58,OP-334
MOV-000165,PROD-2282,WH-SURABAYA-02,OUTBOUND,16,2026-06-20 18:57:41,OP-839
MOV-000166,PROD-0467,WH-SURABAYA-02,INBOUND,74,2026-06-12 01:45:03,OP-704
MOV-000167,PROD-0557,WH-SURABAYA-02,INBOUND,88,2026-06-30 05:08:44,OP-233
MOV-000168,PROD-0894,WH-SURABAYA-02,OUTBOUND,23,2026-06-22 06:32:05,OP-272
MOV-000169,PROD-0836,WH-SURABAYA-02,INBOUND,212,2026-06-24 14:15:01,OP-225
MOV-000170,PROD-1311,WH-BANDUNG-04,INBOUND,136,2026-06-10 18:56:00,OP-355
MOV-000171,PROD-0618,WH-SURABAYA-02,INBOUND,100,2026-06-19 21:27:46,OP-176
MOV-000172,PROD-1318,WH-JAKARTA-01,INBOUND,214,2026-06-25 09:26:02,OP-592
MOV-000173,PROD-1505,WH-JAKARTA-01,OUTBOUND,9,2026-06-09 16:21:45,OP-135
MOV-000174,PROD-0134,WH-BANDUNG-04,ADJUSTMENT_DEFECT,125,2026-06-07 05:24:22,OP-195
MOV-000175,PROD-0008,WH-SURABAYA-02,OUTBOUND,132,2026-06-14 06:13:53,OP-736
MOV-000176,PROD-2076,WH-JAKARTA-01,INBOUND,58,2026-06-09 07:17:55,OP-834
MOV-000177,PROD-0783,WH-JAKARTA-01,OUTBOUND,246,2026-06-27 21:13:41,OP-433
MOV-000178,PROD-1334,WH-BANDUNG-04,OUTBOUND,202,2026-06-24 02:41:25,OP-673
MOV-000179,PROD-0541,WH-SURABAYA-02,OUTBOUND,189,2026-06-17 08:14:44,OP-510
MOV-000180,PROD-1058,WH-JAKARTA-01,INBOUND,210,2026-06-20 15:29:12,OP-524
MOV-000181,PROD-2055,WH-SURABAYA-02,INBOUND,184,2026-06-14 10:48:31,OP-313
MOV-000182,PROD-2088,WH-MEDAN-03,OUTBOUND,245,2026-06-28 10:51:43,OP-706
MOV-000183,PROD-0909,WH-SURABAYA-02,INBOUND,22,2026-06-03 04:55:15,OP-894
MOV-000184,PROD-2110,WH-BANDUNG-04,OUTBOUND,68,2026-06-03 01:06:24,OP-690
MOV-000185,PROD-1321,WH-BANDUNG-04,OUTBOUND,249,2026-06-16 16:50:03,OP-777
MOV-000186,PROD-2427,WH-SURABAYA-02,INBOUND,142,2026-06-19 05:12:44,OP-234
MOV-000187,PROD-0322,WH-MEDAN-03,OUTBOUND,27,2026-06-22 18:59:08,OP-652
MOV-000188,PROD-0733,WH-BANDUNG-04,OUTBOUND,124,2026-06-02 08:28:08,OP-930
MOV-000189,PROD-1419,WH-MEDAN-03,INBOUND,119,2026-06-13 05:50:09,OP-583
MOV-000190,PROD-1381,WH-SURABAYA-02,INBOUND,86,2026-06-14 15:49:04,OP-679
MOV-000191,PROD-2467,WH-BANDUNG-04,INBOUND,200,2026-06-23 19:17:34,OP-637
MOV-000192,PROD-1360,WH-MEDAN-03,INBOUND,184,2026-06-23 22:19:38,OP-895
MOV-000193,PROD-2068,WH-JAKARTA-01,INBOUND,100,2026-06-13 18:51:37,OP-595
MOV-000194,PROD-2460,WH-MEDAN-03,INBOUND,179,2026-06-24 20:08:50,OP-263
MOV-000195,PROD-1915,WH-BANDUNG-04,INBOUND,202,2026-06-01 09:33:41,OP-631
MOV-000196,PROD-0549,WH-JAKARTA-01,OUTBOUND,30,2026-06-27 06:03:58,OP-608
MOV-000197,PROD-1283,WH-MEDAN-03,INBOUND,202,2026-06-12 03:52:12,OP-307
MOV-000198,PROD-0605,WH-MEDAN-03,INBOUND,103,2026-06-03 15:05:42,OP-946
MOV-000199,PROD-1723,WH-BANDUNG-04,INBOUND,237,2026-06-26 17:08:58,OP-916
MOV-000200,PROD-2405,WH-MEDAN-03,INBOUND,175,2026-06-03 13:54:18,OP-816
MOV-000201,PROD-2249,WH-BANDUNG-04,RETUR_STOCK,201,2026-06-18 03:28:23,OP-178
MOV-000202,PROD-1582,WH-BANDUNG-04,OUTBOUND,195,2026-06-15 10:37:56,OP-357
MOV-000203,PROD-2279,WH-MEDAN-03,OUTBOUND,210,2026-06-04 02:30:17,OP-920
MOV-000204,PROD-2351,WH-JAKARTA-01,OUTBOUND,70,2026-06-11 08:02:46,OP-261
MOV-000205,PROD-2435,WH-BANDUNG-04,OUTBOUND,247,2026-06-27 14:03:27,OP-924
MOV-000206,PROD-0715,WH-BANDUNG-04,RETUR_STOCK,108,2026-06-29 07:57:17,OP-417
MOV-000207,PROD-0925,WH-SURABAYA-02,INBOUND,195,2026-06-08 00:50:23,OP-681
MOV-000208,PROD-0058,WH-MEDAN-03,OUTBOUND,145,2026-06-22 05:43:47,OP-470
MOV-000209,PROD-0434,WH-MEDAN-03,OUTBOUND,183,2026-06-16 08:01:20,OP-916
MOV-000210,PROD-1785,WH-MEDAN-03,RETUR_STOCK,9,2026-06-30 08:55:46,OP-518
MOV-000211,PROD-0483,WH-MEDAN-03,INBOUND,179,2026-06-09 01:10:49,OP-277
MOV-000212,PROD-0367,WH-SURABAYA-02,OUTBOUND,168,2026-06-15 20:49:18,OP-690
MOV-000213,PROD-0889,WH-MEDAN-03,INBOUND,168,2026-06-24 05:20:24,OP-937
MOV-000214,PROD-1853,WH-MEDAN-03,ADJUSTMENT_DEFECT,182,2026-06-25 15:32:30,OP-215
MOV-000215,PROD-1355,WH-JAKARTA-01,OUTBOUND,188,2026-06-12 06:51:38,OP-585
MOV-000216,PROD-1724,WH-MEDAN-03,OUTBOUND,23,2026-06-06 02:43:41,OP-782
MOV-000217,PROD-1259,WH-BANDUNG-04,OUTBOUND,24,2026-06-03 10:08:34,OP-691
MOV-000218,PROD-0411,WH-BANDUNG-04,OUTBOUND,154,2026-06-08 09:38:02,OP-501
MOV-000219,PROD-2231,WH-BANDUNG-04,OUTBOUND,35,2026-06-27 03:22:27,OP-417
MOV-000220,PROD-2206,WH-MEDAN-03,OUTBOUND,109,2026-06-08 02:54:28,OP-407
MOV-000221,PROD-2061,WH-SURABAYA-02,OUTBOUND,243,2026-06-14 10:54:02,OP-217
MOV-000222,PROD-1813,WH-MEDAN-03,INBOUND,194,2026-06-21 03:41:31,OP-537
MOV-000223,PROD-1803,WH-SURABAYA-02,INBOUND,48,2026-06-13 14:58:25,OP-108
MOV-000224,PROD-0678,WH-MEDAN-03,INBOUND,200,2026-06-23 10:31:09,OP-340
MOV-000225,PROD-0618,WH-SURABAYA-02,RETUR_STOCK,199,2026-06-12 20:33:43,OP-299
MOV-000226,PROD-2252,WH-MEDAN-03,INBOUND,105,2026-06-26 10:41:51,OP-878
MOV-000227,PROD-2350,WH-BANDUNG-04,OUTBOUND,93,2026-06-09 11:04:31,OP-287
MOV-000228,PROD-0795,WH-SURABAYA-02,INBOUND,53,2026-06-01 14:44:34,OP-654
MOV-000229,PROD-0729,WH-BANDUNG-04,OUTBOUND,233,2026-06-13 12:12:41,OP-670
MOV-000230,PROD-1694,WH-BANDUNG-04,INBOUND,63,2026-06-09 05:10:38,OP-618
MOV-000231,PROD-1886,WH-SURABAYA-02,OUTBOUND,136,2026-06-15 14:16:11,OP-106
MOV-000232,PROD-0639,WH-BANDUNG-04,INBOUND,121,2026-06-26 01:14:37,OP-582
MOV-000233,PROD-0191,WH-BANDUNG-04,OUTBOUND,171,2026-06-26 16:10:41,OP-104
MOV-000234,PROD-1802,WH-MEDAN-03,OUTBOUND,139,2026-06-02 23:13:38,OP-119
MOV-000235,PROD-0899,WH-MEDAN-03,OUTBOUND,203,2026-06-14 12:01:04,OP-431
MOV-000236,PROD-1997,WH-SURABAYA-02,OUTBOUND,181,2026-06-28 06:54:37,OP-180
MOV-000237,PROD-2108,WH-SURABAYA-02,ADJUSTMENT_DEFECT,93,2026-06-20 17:13:31,OP-818
MOV-000238,PROD-1490,WH-JAKARTA-01,OUTBOUND,19,2026-06-24 04:23:58,OP-142
MOV-000239,PROD-1403,WH-BANDUNG-04,INBOUND,11,2026-06-20 16:15:40,OP-283
MOV-000240,PROD-1453,WH-BANDUNG-04,INBOUND,179,2026-06-05 08:24:04,OP-639
MOV-000241,PROD-2110,WH-MEDAN-03,INBOUND,120,2026-06-11 08:49:10,OP-599
MOV-000242,PROD-1944,WH-BANDUNG-04,INBOUND,200,2026-06-24 00:00:49,OP-419
MOV-000243,PROD-2350,WH-JAKARTA-01,OUTBOUND,102,2026-06-23 04:19:08,OP-446
MOV-000244,PROD-0638,WH-MEDAN-03,RETUR_STOCK,122,2026-06-23 10:21:08,OP-801
MOV-000245,PROD-0999,WH-SURABAYA-02,OUTBOUND,177,2026-06-03 06:00:37,OP-181
MOV-000246,PROD-2220,WH-SURABAYA-02,OUTBOUND,112,2026-06-23 21:02:57,OP-253
MOV-000247,PROD-1529,WH-BANDUNG-04,INBOUND,110,2026-06-05 21:16:32,OP-121
MOV-000248,PROD-0063,WH-SURABAYA-02,INBOUND,151,2026-06-25 00:13:43,OP-250
MOV-000249,PROD-0016,WH-MEDAN-03,OUTBOUND,51,2026-06-11 11:33:42,OP-797
MOV-000250,PROD-0842,WH-MEDAN-03,INBOUND,245,2026-06-03 09:16:22,OP-263
MOV-000251,PROD-1125,WH-SURABAYA-02,OUTBOUND,57,2026-06-19 01:44:21,OP-848
MOV-000252,PROD-1217,WH-BANDUNG-04,INBOUND,234,2026-06-27 08:08:25,OP-820
MOV-000253,PROD-1997,WH-MEDAN-03,OUTBOUND,159,2026-06-25 03:49:40,OP-771
MOV-000254,PROD-0899,WH-JAKARTA-01,OUTBOUND,137,2026-06-29 03:14:58,OP-870
MOV-000255,PROD-1491,WH-MEDAN-03,OUTBOUND,249,2026-06-11 23:06:05,OP-103
MOV-000256,PROD-2223,WH-JAKARTA-01,OUTBOUND,64,2026-06-23 18:07:19,OP-184
MOV-000257,PROD-1258,WH-MEDAN-03,INBOUND,81,2026-06-21 01:16:58,OP-840
MOV-000258,PROD-1515,WH-MEDAN-03,INBOUND,66,2026-06-22 08:45:22,OP-600
MOV-000259,PROD-0417,WH-JAKARTA-01,INBOUND,63,2026-06-24 03:47:15,OP-469
MOV-000260,PROD-1557,WH-MEDAN-03,INBOUND,242,2026-06-11 11:43:08,OP-404
